time,entity,parent,name,x,y,z,x,y,z,w
1000,7v1#4294967303,None,box_2,0,0,0,-0.7071067,0,0,0.70710677
1000,8v1#4294967304,None,box_1,0,0.5,0,0,0,0,1
2000,7v1#4294967303,None,box_2,0,0,0,-0.7071067,0,0,0.70710677
2000,8v1#4294967304,None,box_1,0,0.5,0,0,0,0,1
3000,7v1#4294967303,None,box_2,0,0,0,-0.7071067,0,0,0.70710677
3000,8v1#4294967304,None,box_1,0,0.5,0,0,0,0,1
4000,7v1#4294967303,None,box_2,0,0,0,-0.7071067,0,0,0.70710677
4000,8v1#4294967304,None,box_1,0,0.5,0,0,0,0,1
5000,7v1#4294967303,None,box_2,0,0,0,-0.7071067,0,0,0.70710677
5000,8v1#4294967304,None,box_1,0,0.5,0,0,0,0,1
6000,7v1#4294967303,None,box_2,0,0,0,-0.7071067,0,0,0.70710677
6000,8v1#4294967304,None,box_1,0,0.5,0,0,0,0,1
7000,7v1#4294967303,None,box_2,0,0,0,-0.7071067,0,0,0.70710677
7000,8v1#4294967304,None,box_1,0,0.5,0,0,0,0,1
8000,7v1#4294967303,None,box_2,0,0,0,-0.7071067,0,0,0.70710677
8000,8v1#4294967304,None,box_1,0,0.5,0,0,0,0,1
9000,7v1#4294967303,None,box_2,0,0,0,-0.7071067,0,0,0.70710677
9000,8v1#4294967304,None,box_1,0,0.5,0,0,0,0,1
10000,7v1#4294967303,None,box_2,0,0,0,-0.7071067,0,0,0.70710677
10000,8v1#4294967304,None,box_1,0,0.5,0,0,0,0,1
11000,7v1#4294967303,None,box_2,0,0,0,-0.7071067,0,0,0.70710677
11000,8v1#4294967304,None,box_1,0,0.5,0,0,0,0,1
12000,7v1#4294967303,None,box_2,0,0,0,-0.7071067,0,0,0.70710677
12000,8v1#4294967304,None,box_1,0,0.5,0,0,0,0,1
13000,7v1#4294967303,None,box_2,0,0,0,-0.7071067,0,0,0.70710677
13000,8v1#4294967304,None,box_1,0,0.5,0,0,0,0,1
